	sender	me
0	eimai poly thymwmenh mazi sou	giati
3	pou eisai 	spiti
5	geia	ti kaneis ?
7	kalaaaaa auto einai egw 	e apo pou epneusthkes auto to move
11	apo thn gefyra ths enorganhs	kaneis enorganh 
13	ekana xronia pou eisia	ela xthes dn htan h katallhlh stigmh
16	xaxaxaxaxa gkomenaki	e peripou
24	re blhma danai set her own nickname to ss . 	ahahhah
29	ela twra etsi de fainetai	twra nai
33	egw eixa gynaikologo alliws tha koimomoun	e nai auto einai to mood
35	kai ti tha kaneis smr	h amalia einai ?
39	pote	otan fugete ap to magazi
41	okkk antwnh	ela
44	forema h mplouza 	forematara
47	panagia mou	poianhs einai
49	mias filhs mou gia na to balw egw	na to valeis
51	nai e kala tha dw otan to dokimasw	steile fwto
54	aaaaan to balw tha anebasw k tha deis 	ahhaa kala
56	nomizw oti oi mplouzes mou einai pio makries ap auto	e ama einai toso konto forato mono sto spiti
59	xaxaxaxaxa pou pas	pouthena apo xthes einai . . . .
61	a koul eisai me parea h koimasai h tha koimhtheis h kati	tha se parw se kamia wra
68	de xerw steile k an eimai mesa pare	nai
71	geia	ti leeiii
73	kaaaaala bariemai esy	etoimazomai na paw gia tsipouro
76	pf mhpws prolabainw na erthw patra	olo logia eisai
80	ennoousa gia na apofygw thn apagoreush thes na erthw kapoia stigmh 	kalutera etsi
85	xaxaxaxaxax giati re ti se peirazan oi fatses nai re mh me apantas koul	sou poulaw ta airpods
91	de ta thelw 	 . . .
94	tote giati ta poulas	na parw ta pro
96	k gw	esy gt thes ta pro
99	oxi alla gia na einai pro kalytera tha einai	 . . .
101	xxaxaxaxaxaxa poso ta dineis	 
104	pf siga kai ta phra	 
107	oooooxi agaph mou de thelw na thn kanw stori 	oxi
112	 	e dn exei kati
114	thelw na kaaaaaaanw	thn alhtheia sou lew
116	k de bgainw wraia to xerw	mia xara eisai
121	eimai omorfh omws 	h pio omorfh sto feed mou
123	 akoma prospathw panagia mou xalia ola 	wraia einai auth alla gt eisai toso asprh
128	exei parathyro	san nekrh
130	apo mprosta	exei portraito 
132	nai	dramatic
134	xaxaxaxa	 
136	etsi legetai ti ftaiw egw	xamhlwse ligo fwteinothta
141	bghka k kanonikes etsi 	bgale to tholo
144	pws bgainei xaxaxaxaxa emena de to kanei	aaa mporei
149	me enoxloun oi metries fwtografies tha to skeftw fetos kalyterh	r gt htan etsi ta matia mou
154	mhpws hsoun	oxi
156	mhpws hpies	nai alla pali einai periergo
158	e ntaxei den einai x toso mporei ap to flas antwnh symboulepse me	eimai gym
163	steile fwto feil hthela na dw swma	dn vgazw sto gym dn eimai karagkiozhs
167	xaxaxa kala e na thn anebasw 	opa re
173	xaxaxa einai panw sthn kinhsh den saresei 	m aresei
180	mpomp sfouggarakhs tainia sto netflix	kainouria ?
184	de xr antwnh 	ti esvhses ?
188	to mnm	ti htan
190	afou to eides re	ahahhaha
192	de to esbhsa gia na mh to deis gia na mhn yparxei k to blepw egw 	lol
199	xaxaxa aurio re ti twra toso arga	tha sou steiloun atoma
202	xaxaxaxaxa	tlk gt dn sou apantouse 
204	e xerw gw 	eipe dikaiologies h apla sto eipe sta isia 
207	malakies	pussyboy
209	xaxaxa	dn peirazei
211	autos xanei	kleise ton fy
214	autes ta bazoun nai	pes thn na balei bossikan ergo 
217	ti ein auto re	enas typos pou tragoudaei
